game_id,period,clock,home,scoreHome,away,scoreAway,playerNameI,teamTricode,description,actionType,subType,xLegacy,yLegacy,shotDistance,isFieldGoal,shotVal,scoreVal,location
S2223-G0431,2,09:34,CLE,,IND,,C. Osman,CLE,Osman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0431,2,09:01,CLE,38.0,IND,35.0,C. Osman,CLE,Osman 3PT Jump Shot (3 PTS) (Garland 3 AST),Made Shot,Jump Shot,-230,27,0,1,3.0,3.0,h
S2223-G0431,2,05:01,CLE,44.0,IND,48.0,C. Osman,CLE,Osman Free Throw 1 of 2 (4 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0431,2,05:01,CLE,45.0,IND,48.0,C. Osman,CLE,Osman Free Throw 2 of 2 (5 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0431,2,04:27,CLE,,IND,,C. Osman,CLE,Osman S.FOUL (P1.PN) (J.Schroeder),Foul,Shooting,0,0,0,0,,,h
S2223-G0431,2,04:03,CLE,,IND,,C. Osman,CLE,MISS Osman 26' 3PT Jump Shot,Missed Shot,Jump Shot,-179,189,26,1,3.0,0.0,h
S2223-G0431,2,03:50,CLE,47.0,IND,51.0,C. Osman,CLE,Osman 2' Running Layup (7 PTS),Made Shot,Running Layup Shot,6,18,2,1,2.0,2.0,h
S2223-G0431,2,03:50,CLE,48.0,IND,51.0,C. Osman,CLE,Osman Free Throw 1 of 1 (8 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0431,2,03:34,CLE,,IND,,C. Osman,CLE,Osman STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0431,2,02:10,CLE,,IND,,C. Osman,CLE,MISS Osman 8' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-17,75,8,1,2.0,0.0,h
S2223-G0431,2,01:41,CLE,53.0,IND,56.0,C. Osman,CLE,Osman Free Throw 1 of 2 (9 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0431,2,01:41,CLE,54.0,IND,56.0,C. Osman,CLE,Osman Free Throw 2 of 2 (10 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0431,2,00:42,CLE,,IND,,C. Osman,CLE,Osman S.FOUL (P2.PN) (S.Twardoski),Foul,Shooting,0,0,0,0,,,h
S2223-G0431,3,01:05,CLE,,IND,,C. Osman,CLE,MISS Osman 3PT Jump Shot,Missed Shot,Jump Shot,227,15,0,1,3.0,0.0,h
S2223-G0431,4,09:53,CLE,88.0,IND,98.0,C. Osman,CLE,Osman 3' Layup (12 PTS) (Garland 8 AST),Made Shot,Layup Shot,-2,25,3,1,2.0,2.0,h
S2223-G0431,4,09:26,CLE,90.0,IND,100.0,C. Osman,CLE,Osman 7' Driving Floating Jump Shot (14 PTS) (Garland 9 AST),Made Shot,Driving Floating Jump Shot,-25,67,7,1,2.0,2.0,h
S2223-G0431,4,08:27,CLE,,IND,,C. Osman,CLE,SUB: Mobley FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0348,1,02:30,NYK,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0348,2,08:10,NYK,,CLE,,C. Osman,CLE,MISS Osman 14' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,12,140,14,1,2.0,0.0,v
S2223-G0348,2,07:21,NYK,34.0,CLE,19.0,C. Osman,CLE,Osman 25' 3PT Jump Shot (3 PTS) (Mitchell 1 AST),Made Shot,Jump Shot,170,183,25,1,3.0,3.0,v
S2223-G0348,2,05:53,NYK,37.0,CLE,25.0,C. Osman,CLE,Osman 2' Running Layup (5 PTS) (LeVert 1 AST),Made Shot,Running Layup Shot,5,20,2,1,2.0,2.0,v
S2223-G0348,2,05:13,NYK,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0348,2,03:53,NYK,,CLE,,C. Osman,CLE,Osman STEAL (1 STL),,,0,0,0,0,,,v
S2223-G0348,2,03:49,NYK,41.0,CLE,31.0,C. Osman,CLE,Osman Running Dunk (7 PTS),Made Shot,Running Dunk Shot,0,3,0,1,2.0,2.0,v
S2223-G0348,2,03:25,NYK,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0348,2,02:50,NYK,,CLE,,C. Osman,CLE,Osman STEAL (2 STL),,,0,0,0,0,,,v
S2223-G0348,2,01:52,NYK,,CLE,,C. Osman,CLE,MISS Osman 25' 3PT Jump Shot,Missed Shot,Jump Shot,-115,220,25,1,3.0,0.0,v
S2223-G0348,3,06:54,NYK,,CLE,,C. Osman,CLE,MISS Osman Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,v
S2223-G0348,3,06:54,NYK,59.0,CLE,48.0,C. Osman,CLE,Osman Free Throw 2 of 2 (8 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,v
S2223-G0348,3,06:35,NYK,,CLE,,C. Osman,CLE,Osman STEAL (3 STL),,,0,0,0,0,,,v
S2223-G0348,3,02:04,NYK,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:4),Rebound,Unknown,0,0,0,0,,,v
S2223-G0348,3,00:52.300000,NYK,,CLE,,C. Osman,CLE,Osman Out of Bounds - Bad Pass Turnover Turnover (P1.T12),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G0348,3,00:32.300000,NYK,69.0,CLE,63.0,C. Osman,CLE,Osman Reverse Layup (10 PTS) (Mobley 3 AST),Made Shot,Reverse Layup Shot,-2,2,0,1,2.0,2.0,v
S2223-G0348,4,06:56,NYK,,CLE,,C. Osman,CLE,MISS Osman 24' 3PT Jump Shot,Missed Shot,Jump Shot,-237,-9,24,1,3.0,0.0,v
S2223-G0348,4,05:12,NYK,,CLE,,C. Osman,CLE,MISS Osman 1' Running Reverse Layup,Missed Shot,Running Reverse Layup Shot,7,12,1,1,2.0,0.0,v
S2223-G0935,3,02:03,BOS,,CLE,,C. Osman,CLE,SUB: Mobley FOR Osman,Substitution,,0,0,0,0,,,v
S2223-G0466,1,03:23,CLE,,MIL,,C. Osman,CLE,MISS Osman 26' 3PT Jump Shot,Missed Shot,Jump Shot,108,236,26,1,3.0,0.0,h
S2223-G0466,1,01:49,CLE,31.0,MIL,16.0,C. Osman,CLE,Osman 1' Running Layup (2 PTS) (LeVert 1 AST),Made Shot,Running Layup Shot,-9,9,1,1,2.0,2.0,h
S2223-G0466,1,01:10,CLE,33.0,MIL,16.0,C. Osman,CLE,Osman 2' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,-16,8,2,1,2.0,2.0,h
S2223-G0466,2,09:43,CLE,45.0,MIL,21.0,C. Osman,CLE,Osman 2' Cutting Dunk Shot (6 PTS) (Love 3 AST),Made Shot,Cutting Dunk Shot,-7,21,2,1,2.0,2.0,h
S2223-G0466,2,09:19,CLE,,MIL,,C. Osman,CLE,MISS Osman 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-28,248,25,1,3.0,0.0,h
S2223-G0466,2,05:11,CLE,,MIL,,C. Osman,CLE,SUB: Love FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0466,3,01:34,CLE,,MIL,,C. Osman,CLE,Osman STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0466,3,01:32,CLE,,MIL,,C. Osman,CLE,MISS Osman Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0466,3,01:32,CLE,,MIL,,C. Osman,CLE,MISS Osman Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0466,4,09:58,CLE,,MIL,,C. Osman,CLE,SUB: Mitchell FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0779,1,02:37,CLE,,MEM,,C. Osman,CLE,Osman STEAL (1 STL),,,0,0,0,0,,,h
S2223-G0779,1,01:46,CLE,,MEM,,C. Osman,CLE,MISS Osman 34' 3PT Jump Shot,Missed Shot,Jump Shot,180,284,34,1,3.0,0.0,h
S2223-G0779,2,11:13,CLE,33.0,MEM,26.0,C. Osman,CLE,Osman 26' 3PT Pullup Jump Shot (3 PTS),Made Shot,Pullup Jump shot,186,176,26,1,3.0,3.0,h
S2223-G0779,2,08:46,CLE,,MEM,,C. Osman,CLE,MISS Osman 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,159,200,26,1,3.0,0.0,h
S2223-G0779,2,07:50,CLE,,MEM,,C. Osman,CLE,Osman BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0779,2,05:59,CLE,45.0,MEM,44.0,C. Osman,CLE,Osman 1' Running Dunk (5 PTS) (Garland 4 AST),Made Shot,Running Dunk Shot,-4,14,1,1,2.0,2.0,h
S2223-G0779,2,05:49,CLE,,MEM,,C. Osman,CLE,Osman S.FOUL (P1.T2) (T.Brothers),Foul,Shooting,0,0,0,0,,,h
S2223-G0779,2,04:45,CLE,,MEM,,C. Osman,CLE,Osman STEAL (2 STL),,,0,0,0,0,,,h
S2223-G0779,2,04:00,CLE,56.0,MEM,47.0,C. Osman,CLE,Osman 28' 3PT Jump Shot (8 PTS) (Garland 6 AST),Made Shot,Jump Shot,228,158,28,1,3.0,3.0,h
S2223-G0779,2,03:33,CLE,,MEM,,C. Osman,CLE,MISS Osman 25' 3PT Jump Shot,Missed Shot,Jump Shot,156,200,25,1,3.0,0.0,h
S2223-G0779,2,02:16,CLE,60.0,MEM,50.0,C. Osman,CLE,Osman 1' Driving Floating Bank Jump Shot (10 PTS) (Garland 8 AST),Made Shot,Driving Floating Bank Jump Shot,-7,-2,1,1,2.0,2.0,h
S2223-G0779,2,00:02.200000,CLE,66.0,MEM,54.0,C. Osman,CLE,Osman 2' Cutting Layup Shot (12 PTS) (Mitchell 3 AST),Made Shot,Cutting Layup Shot,-1,15,2,1,2.0,2.0,h
S2223-G0779,2,00:02.200000,CLE,67.0,MEM,54.0,C. Osman,CLE,Osman Free Throw 1 of 1 (13 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0779,3,02:06,CLE,,MEM,,C. Osman,CLE,MISS Osman Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0779,3,02:06,CLE,95.0,MEM,85.0,C. Osman,CLE,Osman Free Throw 2 of 2 (14 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0779,3,00:45.700000,CLE,99.0,MEM,87.0,C. Osman,CLE,Osman Free Throw 1 of 2 (15 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0779,3,00:45.700000,CLE,,MEM,,C. Osman,CLE,MISS Osman Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0779,4,11:41,CLE,102.0,MEM,87.0,C. Osman,CLE,Osman 24' 3PT Jump Shot (18 PTS) (Rubio 2 AST),Made Shot,Jump Shot,-233,47,24,1,3.0,3.0,h
S2223-G0779,4,09:25,CLE,,MEM,,C. Osman,CLE,Osman Lost Ball Turnover (P1.T15),Turnover,Lost Ball,0,0,0,0,,,h
S2223-G0779,4,09:25,CLE,,MEM,,C. Osman,CLE,Osman P.FOUL (P2.T1) (B.Forte),Foul,Personal,0,0,0,0,,,h
S2223-G0779,4,05:28,CLE,121.0,MEM,100.0,C. Osman,CLE,Osman 24' 3PT Jump Shot (21 PTS) (Rubio 4 AST),Made Shot,Jump Shot,-238,37,24,1,3.0,3.0,h
S2223-G0779,4,00:49.700000,CLE,,MEM,,C. Osman,CLE,MISS Osman 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,-167,202,26,1,3.0,0.0,h
S2223-G0295,1,06:16,DET,16.0,CLE,7.0,C. Osman,CLE,Osman 3PT Jump Shot (3 PTS) (Garland 1 AST),Made Shot,Jump Shot,-225,4,0,1,3.0,3.0,v
S2223-G0295,1,04:31,DET,,CLE,,C. Osman,CLE,Osman Bad Pass Turnover (P1.T3),Turnover,Bad Pass,0,0,0,0,,,v
S2223-G0295,1,03:13,DET,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0295,1,02:28,DET,,CLE,,C. Osman,CLE,Osman BLOCK (1 BLK),,,0,0,0,0,,,v
S2223-G0295,2,08:55,DET,,CLE,,C. Osman,CLE,MISS Osman 24' 3PT Jump Shot,Missed Shot,Jump Shot,-107,216,24,1,3.0,0.0,v
S2223-G0295,2,07:42,DET,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,v
S2223-G0295,2,07:27,DET,38.0,CLE,31.0,C. Osman,CLE,Osman 1' Driving Layup (5 PTS),Made Shot,Driving Layup Shot,12,1,1,1,2.0,2.0,v
S2223-G0295,2,06:22,DET,,CLE,,C. Osman,CLE,Osman L.B.FOUL (P1.T3) (D.Mosher),Foul,Loose Ball,0,0,0,0,,,v
S2223-G0295,2,04:41,DET,,CLE,,C. Osman,CLE,Osman Lost Ball Turnover (P2.T7),Turnover,Lost Ball,0,0,0,0,,,v
S2223-G0295,2,04:20,DET,,CLE,,C. Osman,CLE,SUB: Garland FOR Osman,Substitution,,0,0,0,0,,,v
S2223-G0295,3,06:45,DET,63.0,CLE,60.0,C. Osman,CLE,Osman 1' Running Layup (7 PTS) (Garland 7 AST),Made Shot,Running Layup Shot,10,5,1,1,2.0,2.0,v
S2223-G0295,3,05:33,DET,,CLE,,C. Osman,CLE,MISS Osman 26' 3PT Jump Shot,Missed Shot,Jump Shot,115,231,26,1,3.0,0.0,v
S2223-G0295,3,04:55,DET,,CLE,,C. Osman,CLE,MISS Osman 1' Running Layup,Missed Shot,Running Layup Shot,6,8,1,1,2.0,0.0,v
S2223-G0295,3,04:34,DET,67.0,CLE,64.0,C. Osman,CLE,Osman 2' Cutting Layup Shot (9 PTS) (Garland 8 AST),Made Shot,Cutting Layup Shot,-15,10,2,1,2.0,2.0,v
S2223-G0295,3,04:34,DET,67.0,CLE,65.0,C. Osman,CLE,Osman Free Throw 1 of 1 (10 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,v
S2223-G0295,3,02:51,DET,,CLE,,C. Osman,CLE,Osman Out of Bounds - Bad Pass Turnover Turnover (P3.T11),Turnover,Out of Bounds - Bad Pass Turnover,0,0,0,0,,,v
S2223-G0295,3,01:00,DET,,CLE,,C. Osman,CLE,MISS Osman 3PT Jump Shot,Missed Shot,Jump Shot,-224,44,0,1,3.0,0.0,v
S2223-G0295,4,06:16,DET,,CLE,,C. Osman,CLE,Osman S.FOUL (P2.T1) (B.Taylor),Foul,Shooting,0,0,0,0,,,v
S2223-G0295,4,03:15,DET,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,v
S2223-G0295,4,01:44,DET,,CLE,,C. Osman,CLE,SUB: Wade FOR Osman,Substitution,,0,0,0,0,,,v
S2223-G0739,1,02:30,OKC,,CLE,,C. Osman,CLE,Osman S.FOUL (P1.PN) (D.Collins),Foul,Shooting,0,0,0,0,,,v
S2223-G0739,1,00:51.500000,OKC,,CLE,,C. Osman,CLE,Osman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,v
S2223-G0739,2,09:51,OKC,,CLE,,C. Osman,CLE,MISS Osman 3PT Jump Shot,Missed Shot,Jump Shot,221,-5,0,1,3.0,0.0,v
S2223-G0739,2,08:43,OKC,32.0,CLE,31.0,C. Osman,CLE,Osman 2' Running Layup (2 PTS),Made Shot,Running Layup Shot,-13,16,2,1,2.0,2.0,v
S2223-G0739,2,08:01,OKC,,CLE,,C. Osman,CLE,SUB: Neto FOR Osman,Substitution,,0,0,0,0,,,v
S2223-G0739,3,00:49.300000,OKC,,CLE,,C. Osman,CLE,MISS Osman 24' 3PT Jump Shot,Missed Shot,Jump Shot,234,47,24,1,3.0,0.0,v
S2223-G0739,4,11:37,OKC,,CLE,,C. Osman,CLE,MISS Osman 6' Layup,Missed Shot,Layup Shot,56,13,6,1,2.0,0.0,v
S2223-G0739,4,10:40,OKC,78.0,CLE,81.0,C. Osman,CLE,Osman 26' 3PT Jump Shot (5 PTS) (Wade 2 AST),Made Shot,Jump Shot,-147,219,26,1,3.0,3.0,v
S2223-G0739,4,09:11,OKC,,CLE,,C. Osman,CLE,SUB: Garland FOR Osman,Substitution,,0,0,0,0,,,v
S2223-G0406,1,04:44,SAS,,CLE,,C. Osman,CLE,Osman S.FOUL (P1.T2) (M.Smith),Foul,Shooting,0,0,0,0,,,v
S2223-G0406,1,03:54,SAS,,CLE,,C. Osman,CLE,MISS Osman 3PT Jump Shot,Missed Shot,Jump Shot,229,17,0,1,3.0,0.0,v
S2223-G0406,1,02:05,SAS,24.0,CLE,20.0,C. Osman,CLE,Osman 2' Cutting Layup Shot (2 PTS) (E. Mobley 1 AST),Made Shot,Cutting Layup Shot,-18,5,2,1,2.0,2.0,v
S2223-G0406,1,00:18.500000,SAS,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G0406,2,10:10,SAS,,CLE,,C. Osman,CLE,SUB: Stevens FOR Osman,Substitution,,0,0,0,0,,,v
S2223-G0056,1,06:39,CLE,,ORL,,C. Osman,CLE,MISS Osman Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,0.0,h
S2223-G0056,1,06:39,CLE,13.0,ORL,12.0,C. Osman,CLE,Osman Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0056,1,03:52,CLE,20.0,ORL,14.0,C. Osman,CLE,Osman 1' Cutting Layup Shot (3 PTS) (LeVert 3 AST),Made Shot,Cutting Layup Shot,6,11,1,1,2.0,2.0,h
S2223-G0056,1,03:03,CLE,,ORL,,C. Osman,CLE,MISS Osman 9' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,6,89,9,1,2.0,0.0,h
S2223-G0056,1,03:03,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:1 Def:0),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,1,02:40,CLE,22.0,ORL,18.0,C. Osman,CLE,Osman 1' Driving Layup (5 PTS) (Love 1 AST),Made Shot,Driving Layup Shot,-1,5,1,1,2.0,2.0,h
S2223-G0056,1,01:34,CLE,25.0,ORL,20.0,C. Osman,CLE,Osman 26' 3PT Jump Shot (8 PTS) (Mitchell 3 AST),Made Shot,Jump Shot,161,202,26,1,3.0,3.0,h
S2223-G0056,1,01:11,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:1 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,2,08:01,CLE,,ORL,,C. Osman,CLE,Osman P.FOUL (P1.T4) (J.Schroeder),Foul,Personal,0,0,0,0,,,h
S2223-G0056,2,07:29,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:2 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,2,06:21,CLE,41.0,ORL,37.0,C. Osman,CLE,Osman 15' Pullup Jump Shot (10 PTS) (LeVert 4 AST),Made Shot,Pullup Jump shot,-121,84,15,1,2.0,2.0,h
S2223-G0056,2,06:03,CLE,,ORL,,C. Osman,CLE,MISS Osman 26' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,134,226,26,1,3.0,0.0,h
S2223-G0056,2,03:33,CLE,,ORL,,C. Osman,CLE,SUB: Love FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0056,3,03:08,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:2 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,3,02:05,CLE,,ORL,,C. Osman,CLE,MISS Osman 25' 3PT Fadeaway Jumper,Missed Shot,Fadeaway Jump Shot,-245,-7,25,1,3.0,0.0,h
S2223-G0056,3,01:21,CLE,,ORL,,C. Osman,CLE,Osman Bad Pass Turnover (P1.T11),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0056,3,01:13,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:2 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,3,00:34.300000,CLE,,ORL,,C. Osman,CLE,MISS Osman 25' 3PT Jump Shot,Missed Shot,Jump Shot,227,99,25,1,3.0,0.0,h
S2223-G0056,3,00:00,CLE,,ORL,,C. Osman,CLE,MISS Osman 28' 3PT Jump Shot,Missed Shot,Jump Shot,-172,222,28,1,3.0,0.0,h
S2223-G0056,4,11:09,CLE,,ORL,,C. Osman,CLE,Jump Ball Osman vs. Harris: Tip to Wagner,Jump Ball,,0,0,0,0,,,h
S2223-G0056,4,08:01,CLE,84.0,ORL,77.0,C. Osman,CLE,Osman Free Throw 1 of 2 (11 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0056,4,08:01,CLE,,ORL,,C. Osman,CLE,MISS Osman Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,h
S2223-G0056,4,07:03,CLE,,ORL,,C. Osman,CLE,MISS Osman 3' Driving Layup,Missed Shot,Driving Layup Shot,2,26,3,1,2.0,0.0,h
S2223-G0056,4,05:49,CLE,,ORL,,C. Osman,CLE,MISS Osman 2' Running Layup,Missed Shot,Running Layup Shot,-7,22,2,1,2.0,0.0,h
S2223-G0056,4,04:55,CLE,,ORL,,C. Osman,CLE,Osman BLOCK (1 BLK),,,0,0,0,0,,,h
S2223-G0056,4,04:24,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:2 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,4,03:39,CLE,90.0,ORL,83.0,C. Osman,CLE,Osman 6' Layup (13 PTS),Made Shot,Layup Shot,44,36,6,1,2.0,2.0,h
S2223-G0056,4,03:39,CLE,91.0,ORL,83.0,C. Osman,CLE,Osman Free Throw 1 of 1 (14 PTS),Free Throw,Free Throw 1 of 1,0,0,0,0,1.0,1.0,h
S2223-G0056,4,02:20,CLE,,ORL,,C. Osman,CLE,Osman S.FOUL (P2.T3) (S.Wright),Foul,Shooting,0,0,0,0,,,h
S2223-G0056,4,01:56,CLE,,ORL,,C. Osman,CLE,Osman REBOUND (Off:2 Def:5),Rebound,Unknown,0,0,0,0,,,h
S2223-G0056,4,00:37.500000,CLE,,ORL,,C. Osman,CLE,SUB: Wade FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0056,4,00:30,CLE,,ORL,,C. Osman,CLE,SUB: Wade FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0390,1,06:15,CLE,,OKC,,C. Osman,CLE,Osman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,h
S2223-G0390,1,04:59,CLE,,OKC,,C. Osman,CLE,MISS Osman 26' 3PT Jump Shot,Missed Shot,Jump Shot,150,210,26,1,3.0,0.0,h
S2223-G0390,1,04:04,CLE,,OKC,,C. Osman,CLE,MISS Osman 7' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,17,69,7,1,2.0,0.0,h
S2223-G0390,1,02:07,CLE,,OKC,,C. Osman,CLE,MISS Osman 25' 3PT Jump Shot,Missed Shot,Jump Shot,-165,194,25,1,3.0,0.0,h
S2223-G0390,2,11:19,CLE,,OKC,,C. Osman,CLE,Osman S.FOUL (P1.T1) (D.Mosher),Foul,Shooting,0,0,0,0,,,h
S2223-G0390,2,10:20,CLE,,OKC,,C. Osman,CLE,Osman REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,0,0,,,h
S2223-G0390,2,09:53,CLE,,OKC,,C. Osman,CLE,Osman REBOUND (Off:0 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0390,2,08:52,CLE,,OKC,,C. Osman,CLE,Osman REBOUND (Off:1 Def:3),Rebound,Unknown,0,0,0,0,,,h
S2223-G0390,2,07:50,CLE,35.0,OKC,27.0,C. Osman,CLE,Osman 1' Cutting Layup Shot (2 PTS) (Neto 2 AST),Made Shot,Cutting Layup Shot,2,13,1,1,2.0,2.0,h
S2223-G0390,2,06:35,CLE,,OKC,,C. Osman,CLE,MISS Osman 2' Cutting Layup Shot,Missed Shot,Cutting Layup Shot,10,16,2,1,2.0,0.0,h
S2223-G0390,2,05:52,CLE,,OKC,,C. Osman,CLE,SUB: Stevens FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G0390,2,02:29,CLE,,OKC,,C. Osman,CLE,Osman REBOUND (Off:1 Def:4),Rebound,Unknown,0,0,0,0,,,h
S2223-G0390,2,00:49.900000,CLE,56.0,OKC,44.0,C. Osman,CLE,Osman 1' Driving Finger Roll Layup (4 PTS),Made Shot,Driving Finger Roll Layup Shot,4,12,1,1,2.0,2.0,h
S2223-G0390,3,04:24,CLE,73.0,OKC,60.0,C. Osman,CLE,Osman Free Throw 1 of 2 (5 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,h
S2223-G0390,3,04:24,CLE,74.0,OKC,60.0,C. Osman,CLE,Osman Free Throw 2 of 2 (6 PTS),Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,1.0,h
S2223-G0390,3,02:28,CLE,,OKC,,C. Osman,CLE,Osman Bad Pass Turnover (P1.T9),Turnover,Bad Pass,0,0,0,0,,,h
S2223-G0390,3,01:27,CLE,,OKC,,C. Osman,CLE,MISS Osman 3' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,-7,34,3,1,2.0,0.0,h
S2223-G0390,3,00:42.700000,CLE,82.0,OKC,70.0,C. Osman,CLE,Osman Driving Layup (8 PTS),Made Shot,Driving Layup Shot,0,-4,0,1,2.0,2.0,h
S2223-G0390,4,11:36,CLE,,OKC,,C. Osman,CLE,MISS Osman 25' 3PT Jump Shot,Missed Shot,Jump Shot,70,245,25,1,3.0,0.0,h
S2223-G0390,4,10:49,CLE,,OKC,,C. Osman,CLE,MISS Osman 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,-51,255,26,1,3.0,0.0,h
S2223-G0390,4,08:46,CLE,,OKC,,C. Osman,CLE,SUB: LeVert FOR Osman,Substitution,,0,0,0,0,,,h
S2223-G1094,1,01:16,BKN,26.0,CLE,28.0,C. Osman,CLE,Osman Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,0,0,0,0,1.0,1.0,v
S2223-G1094,1,01:16,BKN,,CLE,,C. Osman,CLE,MISS Osman Free Throw 2 of 2,Free Throw,Free Throw 2 of 2,0,0,0,0,1.0,0.0,v
S2223-G1094,2,09:15,BKN,,CLE,,C. Osman,CLE,MISS Osman 26' 3PT Jump Shot,Missed Shot,Jump Shot,-9,255,26,1,3.0,0.0,v
S2223-G1094,2,09:10,BKN,,CLE,,C. Osman,CLE,Osman P.FOUL (P1.T1) (S.Wall),Foul,Personal,0,0,0,0,,,v
S2223-G1094,2,08:57,BKN,,CLE,,C. Osman,CLE,Osman REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,0,0,,,v
S2223-G1094,2,08:28,BKN,,CLE,,C. Osman,CLE,Osman P.FOUL (P2.T3) (K.Cutler),Foul,Personal,0,0,0,0,,,v
S2223-G1094,2,06:07,BKN,,CLE,,C. Osman,CLE,SUB: Okoro FOR Osman,Substitution,,0,0,0,0,,,v
